"|","|__name","|__description"
"470","Pied-billed Grebe","The pied-billed grebe (Podilymbus podiceps) is a species of the grebe family of water birds primarily found in ponds throughout the Americas."
"471","Western Grebe","The western grebe (Aechmophorus occidentalis) is a species in the grebe family of water birds. Folk names include ""dabchick"", ""swan grebe"" and ""swan-necked grebe"".\nWestern grebe fossils from the Late Pleistocene of southwest North America were described as a distinct species, but later ranked as a paleosubspecies Aechmophorus occidentalis lucasi. More recent study found them to fall within the variation now known to exist in today's birds."
"472","Clark's Grebe","Clark's grebe (Aechmophorus clarkii) is a North American waterbird species in the grebe family. Until the 1980s, it was thought to be a pale morph of the western grebe, which it resembles in size, range, and behavior. Intermediates between the two species are known.\nThis species nests on large inland lakes in western North America and migrates to the Pacific coast over the winter. It maintains local populations year-round in California, Nevada, and Arizona (the Lower Colorado River Valley), as well as in central Mexico. \nIt feeds by diving for insects, polychaete worms, crustaceans, and salamanders.\nIt performs the same elaborate courtship display as the western grebe."
"473","Wood Stork","The wood stork (Mycteria americana) is a large wading bird in the family Ciconiidae (storks). Originally described in 1758 by Carl Linnaeus, this stork is native to the subtropics and tropics of the Americas where it persists in habitats with fluctuating water levels. It is the only stork species that breeds in North America. The head and neck are bare of feathers, and dark grey in colour. The plumage is mostly white, with the exception of the tail and some of the wing feathers, which are black with a greenish-purplish sheen.\nGlobally, the wood stork is considered to be of least concern by the International Union for Conservation of Nature. In the United States, the wood stork was previously classified as Endangered due to loss of suitable feeding habitat in the Florida Everglades, its historical population stronghold in the country. The species has been subsequently downlisted to Threatened after northward range expansion and increased population size."
"474","Brandt's Cormorant","Brandt's cormorant (Urile penicillatus) is a strictly marine bird of the cormorant family of seabirds that inhabits the Pacific coast of North America. It ranges, in the summer, from Alaska to the Gulf of California, but the population north of Vancouver Island migrates south during the winter. Its specific name, penicillatus is Latin for a painter's brush (pencil of hairs), in reference to white plumes on its neck and back during the early breeding season. The common name honors the German naturalist Johann Friedrich von Brandt of the Academy of Sciences at St. Petersburg, who described the species from specimens collected on expeditions to the Pacific during the early 19th century."
"475","Neotropic Cormorant","The neotropic cormorant or olivaceous cormorant (Nannopterum brasilianum) is a medium-sized cormorant found throughout the American tropics and subtropics, from the middle Rio Grande and the Gulf and Californian coasts of the United States south through Mexico and Central America to southern South America, where it is called by the indigenous name of biguá. It also breeds in the Bahamas, Cuba, and Trinidad. It can be found both on coasts (including some mangrove areas) and in inland waters. There are at least two subspecies: N. b. mexicanum from Nicaragua northwards and N. b. brasilianum further south. In Peru, the neotropic cormorant is used by the Uru people for fishing."
"476","Pelagic Cormorant","The pelagic cormorant (Urile pelagicus), also known as Baird's cormorant or violet-green cormorant, is a small member of the cormorant family Phalacrocoracidae. Analogous to other smallish cormorants, it is also called the pelagic shag occasionally. This seabird lives along the coasts of the northern Pacific; during winter it can also be found in the open ocean. Pelagic cormorants have relatively short wings due to their need for economical movement underwater, and consequently have the highest flight costs of any bird.\nIt was formerly classified in the genus Phalacrocorax, but a 2014 study supported reclassifying it and several other Pacific cormorant species into the genus Urile. The IOC followed this classification in 2021."
"477","Anhinga","The anhinga (; Anhinga anhinga), sometimes called snakebird, darter, American darter, or water turkey, is a water bird of the warmer parts of the Americas. The word anhinga comes from a'ñinga in the Brazilian Tupi language and means ""devil bird"" or ""snake bird"". The origin of the name is apparent when swimming: only the neck appears above water, so the bird looks like a snake ready to strike. They do not have external nares (nostrils) and breathe solely through their epiglottis.\nThe anhinga is placed in the darter family, Anhingidae, and is closely related to Indian (Anhinga melanogaster), African (Anhinga rufa), and Australian (Anhinga novaehollandiae) darters. Like other darters, the anhinga hunts by spearing fish and other small prey using its sharp, slender beak."
"478","American White Pelican","The American white pelican (Pelecanus erythrorhynchos) is a large aquatic soaring bird from the order Pelecaniformes. It breeds in interior North America, moving south and to the coasts, as far as Costa Rica, in winter."
"479","Brown Pelican","The brown pelican (Pelecanus occidentalis) is a bird of the pelican family, Pelecanidae, one of three species found in the Americas and one of two that feed by diving into water. It is found on the Atlantic Coast from New Jersey to the mouth of the Amazon River, and along the Pacific Coast from British Columbia to Peru, including the Galapagos Islands. The nominate subspecies in its breeding plumage has a white head with a yellowish wash on the crown. The nape and neck are dark maroon–brown. The upper sides of the neck have white lines along the base of the gular pouch, and the lower fore neck has a pale yellowish patch. The male and female are similar, but the female is slightly smaller. The nonbreeding adult has a white head and neck. The pink skin around the eyes becomes dull and gray in the nonbreeding season. It lacks any red hue, and the pouch is strongly olivaceous ochre-tinged and the legs are olivaceous gray to blackish-gray.\nThe brown pelican mainly feeds on fish, but occasionally eats amphibians, crustaceans, and the eggs and nestlings of birds. It nests in colonies in secluded areas, often on islands, vegetated land among sand dunes, thickets of shrubs and trees, and mangroves. Females lay two or three oval, chalky white eggs. Incubation takes 28 to 30 days with both sexes sharing duties. The newly hatched chicks are pink, turning gray or black within 4 to 14 days. About 63 days are needed for chicks to fledge. Six to 9 weeks after hatching, the juveniles leave the nest, and gather into small groups known as pods.\nThe brown pelican is the national bird of Saint Martin, Barbados, Saint Kitts and Nevis, and the Turks and Caicos Islands, and the official state bird of Louisiana, appearing on the flag, seal, or coat of arms of each. It has been rated as a species of least concern by the International Union for Conservation of Nature. It was listed under the United States Endangered Species Act from 1970 to 2009, as pesticides such as dieldrin and DDT threatened its future in the Southeastern United States and California. In 1972, the use of DDT was banned in Florida, followed by the rest of the United States. Since then, the brown pelican's population has increased. In 1903, Theodore Roosevelt set aside the first National Wildlife Refuge, Florida's Pelican Island, to protect the species from hunters."
"480","Great Blue Heron","The great blue heron (Ardea herodias) is a large wading bird in the heron family Ardeidae, common near the shores of open water and in wetlands over most of North and Central America, as well as far northwestern South America, the Caribbean and the Galápagos Islands. It is occasionally found in the Azores and is a rare vagrant to Europe. An all-white population found in south Florida and the Florida Keys is known as the great white heron. Debate exists about whether these white birds are a color morph of the great blue heron, a subspecies of it, or an entirely separate species."
"481","Great Egret","The great egret (Ardea alba), also known as the common egret, large egret, or (in the Old World) great white egret or great white heron, is a large, widely distributed egret.  The four subspecies are found in Asia, Africa, the Americas, and southern Europe.  Recently, it has also been spreading to more northern areas of Europe. Distributed across most of the tropical and warmer temperate regions of the world, it builds tree nests in colonies close to water."
"482","Snowy Egret","The snowy egret (Egretta thula) is a small white heron. The genus name comes from Provençal French for the little egret, aigrette, which is a diminutive of aigron, 'heron'. The species name thula is the Araucano term for the black-necked swan, applied to this species in error by Chilean naturalist Juan Ignacio Molina in 1782.\nThe snowy egret is the American counterpart to the very similar Old World little egret, which has become established in the Bahamas. At one time, the plumes of the snowy egret were in great demand as decorations for women's hats. They were hunted for these plumes and this reduced the population of the species to dangerously low levels. Now protected in the United States by law, under the Migratory Bird Treaty Act, this bird's population has rebounded."
"483","Tricolored Heron","The tricolored heron (Egretta tricolor), formerly known as the Louisiana heron, is a small species of heron native to coastal parts of the Americas. The species is more solitary than other species of heron in the Americas and eats a diet consisting mostly of small fish."
"484","Cattle Egret","The cattle egret (formerly genus Bubulcus) is a cosmopolitan clade of heron (family Ardeidae) in the genus Ardea found in the tropics, subtropics, and warm-temperate zones. According to the IOC bird list, it contains two species, the western cattle egret and the eastern cattle egret, although some authorities regard them as a single species. Despite the similarities in plumage to the egrets of the genus Egretta, it actually belongs to the genus Ardea. Originally native to parts of Asia, Africa, and Europe, it has undergone a rapid expansion in its distribution and successfully colonised much of the rest of the world in the last century.\nThey are white birds adorned with buff plumes in the breeding season. They nest in colonies, usually near bodies of water and often with other wading birds. The nest is a platform of sticks in trees or shrubs. Cattle egrets exploit drier and open habitats more than other heron species. Their feeding habitats include seasonally inundated grasslands, pastures, farmlands, wetlands, and rice paddies. They often accompany cattle or other large mammals, catching insect and small vertebrate prey disturbed by these animals. Some populations are migratory and others show postbreeding dispersal.\nThe adult cattle egret has few predators, but birds or mammals may raid its nests, and chicks may be lost to starvation, calcium deficiency, or disturbance from other large birds. Cattle egrets maintain a special relationship with cattle, which extends to other large grazing mammals; wider human farming is believed to be a major cause of their suddenly expanded range. The cattle egret removes ticks and flies from cattle and consumes them. This benefits both organisms, but it has been implicated in the spread of tick-borne animal diseases."
"485","Green Heron","The green heron (Butorides virescens) is a small heron of North and Central America. Butorides is from Middle English butor ""bittern"" and Ancient Greek -oides, ""resembling"", and virescens is Latin for ""greenish"".\nIt was long considered conspecific with its sister species the striated heron (Butorides striata), and together they were called ""green-backed heron"". Birds of the nominate subspecies (no matter which taxonomic arrangement is preferred) are extremely rare vagrants to western Europe—for example, a sighting in Pembrokeshire in 2018 was only the second recorded sighting in Wales; individuals from the Pacific coast of North America may similarly stray as far as Hawaii."
"486","Glossy Ibis","The glossy ibis (Plegadis falcinellus) is a water bird in the order Pelecaniformes and the ibis and spoonbill family Threskiornithidae. The scientific name derives from Ancient Greek plegados and Latin, falcis, both meaning ""sickle"" and referring to the distinctive shape of the bill."
"487","White-faced Ibis","The white-faced ibis (Plegadis chihi) is a wading bird in the ibis family, Threskiornithidae.\nThis species breeds colonially in marshes, usually nesting in bushes or low trees. Its breeding range extends from the western United States south through Mexico, as well as from southeastern Brazil and southeastern Bolivia south to central Argentina, and along the coast of central Chile. Its winter range extends from southern California and Louisiana south to include the rest of its breeding range."
"488","Roseate Spoonbill","The roseate spoonbill (Platalea ajaja) is a gregarious wading bird of the ibis and spoonbill family, Threskiornithidae. It is a resident breeder in both South and North America. The roseate spoonbill's pink color is diet-derived, consisting of the carotenoid pigment canthaxanthin, like the American flamingo."
"489","Black Vulture","The black vulture (Coragyps atratus), also known as the American black vulture, Mexican vulture, zopilote, urubu, or gallinazo, is a bird in the New World vulture family whose range extends from the southeastern United States to Peru, Central Chile and Uruguay in South America. Although a common and widespread species, it has a somewhat more restricted distribution than its compatriot, the turkey vulture, which breeds well into Canada and all the way south to Tierra del Fuego. It is the only extant member of the genus Coragyps, which is in the family Cathartidae. Despite the similar name and appearance, this species is not closely related to the Eurasian black vulture, an Old World vulture, of the family Accipitridae (which includes raptors like the eagles, hawks, kites, and harriers). For ease of locating animal corpses (their primary source of sustenance), black vultures tend to inhabit relatively open areas with scattered trees, such as chaparral, in addition to subtropical forested areas and parts of the Brazilian pantanal.\nWith a wingspan of 1.5 m (4.9 ft), the black vulture is an imposing bird, though relatively small for a vulture, let alone a raptor. It has black plumage, a featherless, grayish-black head and neck, and a short, hooked beak. These features are all evolutionary adaptations to life as a scavenger; their black plumage stays visibly cleaner than that of a lighter-colored bird, the bare head is designed for easily digging inside animal carcasses, and the hooked beak is built for stripping the bodies clean of meat. The absence of head feathers helps the birds stay clean and remain (more or less) free of animal blood and bodily fluids, which could become problematic for the vultures and attract parasites; most vultures are known to bathe after eating, provided there is a water source. This water source can be natural or man-made, such as a stream or a livestock water tank.\nThe black vulture is a scavenger and feeds on carrion, but will also eat eggs, small reptiles, or small newborn animals (livestock such as cattle, or deer, rodents, rabbits, etc.), albeit very rarely. They will also opportunistically prey on extremely weakened, sick, elderly, or otherwise vulnerable animals. In areas populated by humans, it also scavenges at dumpster sites and garbage dumps. It finds its meals by using its keen eyesight or following other (New World) vultures, which all possess a keen sense of smell. Lacking a syrinx—the vocal organ of birds—its only vocalizations are grunts or low hisses. It lays its eggs in caves, in cliffside rock crevasses, dead and hollow trees, or, in the absence of predators, on the bare ground, generally raising two chicks each year. The parents feed their young by regurgitation from their crop, an additional digestive organ unique to birds, used for storing excess food; their “infant formula”, of sorts, is thus called “crop milk”. In the United States, the vulture receives legal protection under the Migratory Bird Treaty Act of 1918. This vulture also appeared in Mayan codices."
"490","Turkey Vulture","The turkey vulture (Cathartes aura) is the most widespread of the New World vultures. One of three species in the genus Cathartes of the family Cathartidae, the turkey vulture ranges from southern Canada to the southernmost tip of South America. It inhabits a variety of open and semi-open areas, including subtropical forests, shrublands, pastures, and deserts.\nLike all New World vultures, it is not closely related to the Old World vultures of Europe, Africa, and Asia. However, the two groups strongly resemble each other due to convergent evolution.\nThe turkey vulture is a scavenger and feeds almost exclusively on carrion. It finds its food using its keen eyes and sense of smell, flying low enough to detect the gasses produced by the early stages of decay in dead animals. In flight, it uses thermals to move through the air, flapping its wings infrequently. It roosts in large community groups. Lacking a syrinx—the vocal organ of birds—its only vocalizations are grunts or low hisses. It nests in caves, hollow trees, or thickets. Each year it generally raises two chicks, which it feeds by regurgitation. It has very few natural predators. In the United States, the vulture receives legal protection under the Migratory Bird Treaty Act of 1918."
"491","Osprey","The osprey (; Pandion haliaetus), historically known as sea hawk, river hawk, and fish hawk, is a diurnal, fish-eating bird of prey with a cosmopolitan range. It is a large raptor, reaching more than 60 cm (24 in) in length and 180 cm (71 in) across the wings. It is brown on the upperparts and predominantly greyish on the head and underparts.\nThe osprey tolerates a wide variety of habitats, nesting in any location near a body of water providing an adequate food supply. It is found on all continents except Antarctica, although in South America it occurs only as a non-breeding migrant.\nAs its other common names suggest, the osprey's diet consists almost exclusively of fish. It possesses specialised physical characteristics and unique behaviour in hunting its prey. Because of its unique characteristics it is classified in its own taxonomic genus, Pandion, and family, Pandionidae."
"492","Swallow-tailed Kite","The swallow-tailed kite (Elanoides forficatus) is a pernine raptor which breeds from the southeastern United States to eastern Peru and northern Argentina. It is the only species in the genus Elanoides. Most North and Central American breeders winter in South America where the species is resident year round."
"493","White-tailed Kite","The white-tailed kite (Elanus leucurus) is a small raptor found in western North America and parts of South America. It replaces the related Old World black-winged kite in its native range."
"494","Mississippi Kite","The Mississippi kite (Ictinia mississippiensis) is a small bird of prey in the family Accipitridae.  Mississippi kites have narrow, pointed wings and are graceful in flight, often appearing to float in the air.  It is common to see several circling in the same area."
"495","Harris's Hawk","Harris's hawk (Parabuteo unicinctus), formerly known as the bay-winged hawk or dusky hawk, and known in Latin America as the peuco, is a medium-large bird of prey that breeds from the southwestern United States south to Chile, central Argentina, and Brazil. This bird is sometimes reported to be at large in Western Europe, especially Britain, but it is a popular species in falconry and these records almost invariably all refer to escapes from captivity.\nThe name is derived from the Greek para, meaning beside, near or like, and the Latin buteo, referring to a kind of buzzard; uni meaning once; and cinctus meaning girdled, referring to the white band at the tip of the tail. John James Audubon gave this bird its English name in honor of his ornithological companion, financial supporter, and friend Edward Harris.\nHarris's hawk is notable for its behavior of hunting cooperatively in packs consisting of tolerant groups, while other raptors often hunt alone. Harris's hawks' social nature has been attributed to their intelligence, which makes them easy to train and has made them a popular bird for use in falconry."
"496","Swainson's Hawk","Swainson's hawk (Buteo swainsoni) is a large bird species in the Accipitriformes order. This species was named after William Swainson, a British naturalist. It is colloquially known as the grasshopper hawk or locust hawk, as it is very fond of Acrididae (locusts and grasshoppers) and will voraciously eat these insects whenever they are available.\nTheir breeding habitat is prairie and dry grasslands in western North America. They build a stick nest in a tree or shrub or on a cliff edge. This species is a long-distance migrant, wintering in Argentina; it has been recorded as a vagrant in neighboring Chile, in the island countries of the Dominican Republic, and Trinidad and Tobago, and in Norway.\nThis species or its immediate predecessor is the ancestor of the Galápagos hawk, as demonstrated by recent research. Then later diverged from the mainland birds perhaps 300,000 years ago, a very short time in evolution."
"497","Red-tailed Hawk","The red-tailed hawk (Buteo jamaicensis) is a bird of prey that breeds throughout most of North America, from the interior of Alaska and northern Canada to as far south as Panama and the West Indies. It is one of the most common members of the genus Buteo. The red-tailed hawk is one of three species colloquially known in the United States as the ""chickenhawk"", though it rarely preys on standard-sized chickens.\nRed-tailed hawks can acclimate to all the biomes within their range, occurring on the edges of non-ideal habitats such as dense forests and sandy deserts. The red-tailed hawk occupies a wide range of habitats and altitudes, including deserts, grasslands, coniferous and deciduous forests, agricultural fields, and urban areas. Its latitudinal limits fall around the tree line in the subarctic and it is absent from the high Arctic. It favors varied habitats with open woodland, woodland edge and open terrain. It is legally protected in Canada, Mexico, and the United States by the Migratory Bird Treaty Act.\nThe 14 recognized subspecies vary in appearance and range, varying most often in color. In the west of North America, red-tails are often strongly polymorphic, with individuals ranging from almost white to nearly all black. The subspecies Harlan's hawk (B. j. harlani) is sometimes considered a separate species (B. harlani). The red-tailed hawk is one of the largest members of the genus Buteo, typically weighing from 690 to 1,600 g (1.5 to 3.5 lb) and measuring 45–65 cm (18–26 in) in length, with a wingspan from 110–141 cm (3 ft 7 in – 4 ft 8 in). This species displays sexual dimorphism in size, with females averaging about 25% heavier than males. The diet of red-tailed hawks is highly variable and reflects their status as opportunistic generalists, but in North America, they are most often predators of small mammals such as rodents; prey that is terrestrial and at least partially diurnal is preferred. Like many Buteo species, they most often hunt from a perch, but they can vary their hunting techniques where prey and habitat demand it. \nBecause they are so common and easily trained as capable hunters, in the United States they are the most commonly captured hawks for falconry. Falconers are permitted to take only passage hawks (which have left the nest, are on their own, but are less than a year old) so as to not affect the breeding population. Passage red-tailed hawks are also preferred by falconers because they have not yet developed the adult behaviors that would make them more difficult to train."
"498","Crested Caracara","The crested caracara (Caracara plancus), also known as the Mexican eagle, is a bird of prey (raptor) in the falcon family, Falconidae. It was formerly placed in the genus Polyborus before being given in its own genus, Caracara. It is native to and found in the southern and southeastern United States, Mexico (where it is present in every state) and the majority of mainland Latin America, as well as some Caribbean islands. The crested caracara is quite adaptable and hardy, for a species found predominantly in the neotropics; it can be found in a range of environments and ecosystems, including semi-arid and desert climates, maritime or coastal areas, subtropical and tropical forests, temperate regions, plains, swamps, and even in urban areas. Documented, albeit rare, sightings have occurred as far north as Minnesota and the Canadian provinces of Ontario and Prince Edward Island. The southern extent of the crested caracara's distribution can reach as far as Tierra del Fuego and Magallanes Region, Chile."
"499","Merlin","Merlin (Welsh: Myrddin, Cornish: Merdhyn, Breton: Merzhin) is a mythical figure prominently featured in the legend of King Arthur and best known as a magician, with several other main roles. The familiar depiction of Merlin, based on an amalgamation of historical and legendary figures, was introduced by the 12th-century Catholic cleric Geoffrey of Monmouth and then built on by the French poet Robert de Boron and prose successors in the 13th century.\nGeoffrey seems to have combined earlier Welsh tales of Myrddin and Ambrosius, two legendary Briton prophets with no connection to Arthur, to form the composite figure that he called Merlinus Ambrosius. His rendering of the character became immediately popular, especially in Wales. Later chronicle and romance writers in France and elsewhere expanded the account to produce a more full, multifaceted character, creating one of the most important figures in the imagination and literature of the Middle Ages.\nMerlin's traditional biography casts him as an often-mad cambion, born of a mortal woman and an incubus, from whom he inherits his supernatural powers and abilities. His most notable abilities commonly include prophecy and shapeshifting. Merlin matures to an ascendant sagehood and engineers the birth of Arthur through magic and intrigue. Later stories have Merlin as an advisor and mentor to the young king until he disappears from the tale, leaving behind a series of prophecies foretelling events to come. A popular version from the French prose cycles tells of Merlin being bewitched and forever sealed up or killed by his student, the Lady of the Lake, after having fallen in love with her. Other texts variously describe his retirement, at times supernatural, or death."
"500","Prairie Falcon","The prairie falcon (Falco mexicanus) is a medium-sized falcon found in Western North America. A separate species from the peregrine falcon, with which it shares some visual similarities, the prairie falcon is, essentially, an arid-climate divergence of earlier peregrine falcon lineage. It is thus able to thrive on a more meager, opportunistic diet compared to that of the peregrine, and is generally lighter in weight than a peregrine of similar wingspan.  Having evolved in harsher and desert environments, often with low prey density, the prairie falcon has developed into an aggressive and opportunistic hunter of a wide range of both mammalian and avian prey, as well as occasional reptiles. It will regularly take prey from the size of sparrows or finches to birds approximately its own weight, and occasionally much larger. \nThe prairie falcon is the only larger falcon species native strictly to North America (others are found throughout the Americas and beyond, such as the peregrine falcon with its cosmopolitan distribution). The prairie falcon is resident from Canada (mainly Alberta, British Columbia and Saskatchewan) through the Western United States (west of the Mississippi) and south into Northern Mexico. \nLike many raptors and falconiformes, the prairie falcon is popular in falconry; with proper training and care, it is regarded as being equally as skilled as the more well-known peregrine, among others."
"501","American Coot","The American coot (Fulica americana), also known as a mud hen or pouldeau, is a bird of the family Rallidae. Though commonly mistaken for ducks, American coots are only distantly related to ducks, belonging to a separate order. Unlike the webbed feet of ducks, coots have broad, lobed scales on their lower legs and toes that fold back with each step to facilitate walking on dry land. Coots live near water, typically inhabiting wetlands and open water bodies in North America. Groups of coots are called covers or rafts. The oldest known coot lived to be 22 years old.\nThe American coot is a migratory bird that occupies most of North America. It lives in the Pacific and southwestern United States and Mexico year-round and occupies more northeastern regions during the summer breeding season. In the winter they can be found as far south as Panama. Coots generally build floating nests and lay 8–12 eggs per clutch. Females and males have similar appearances, but they can be distinguished during aggressive displays by the larger ruff (head plumage) on the male. American coots eat primarily algae and other aquatic plants but also animals (both vertebrates and invertebrates) when available.\nThe American coot is closely related to the Eurasian coot (Fulica atra), which occupies the same ecological niche in Eurasia and Australia as the American coot does in North America. Eurasian coots can be distinguished from this species by the absence of a red callus above the bird's frontal shield.\nThe American coot is listed as ""Least Concern"" under the IUCN conservation ratings. Hunters generally avoid killing American coots because their meat is not as sought after as that of ducks.\nAmerican coots display several interesting breeding habits; mothers will preferentially feed offspring with the brightest plume feathers, which has resulted in coot chicks having brightly ornamented plumage which becomes drabber as they age. American coots are also susceptible to conspecific brood parasitism and have evolved mechanisms to differentiate their offspring from those of parasitic females."
"502","Sandhill Crane","The sandhill crane (Antigone canadensis) is a species of large crane of North America and extreme northeastern Siberia. The common name of this bird refers to their habitat such as the Platte River, on the edge of Nebraska's Sandhills on the American Great Plains. Sandhill cranes are known to frequent the edges of bodies of water. The central Platte River valley in Nebraska is the most important stopover area for the nominotypical subspecies, the lesser sandhill crane (A. c. canadensis), with up to 450,000 of these birds migrating through annually."
"503","Semipalmated Plover","The semipalmated plover (Charadrius semipalmatus) is a small plover. Charadrius is a Late Latin word for a yellowish bird mentioned in the fourth-century Vulgate. It derives from Ancient Greek kharadrios a bird found in ravines and river valleys (kharadra, ""ravine""). The specific semipalmatus is  Latin and comes from  semi, ""half"" and palma, ""palm"". Like the English name, this refers to its only partially webbed feet."
"504","Killdeer","The killdeer (Charadrius vociferus) is a large plover found in the Americas. It gets its name from its shrill, two-syllable call, which is often heard. It was described and given its current scientific name in 1758 by Carl Linnaeus in the 10th edition of his Systema Naturae. Three subspecies are described. Its upperparts are mostly brown with rufous fringes, the head has patches of white and black, and two black bands cross the breast. The belly and the rest of the breast are white. The nominate (or originally described) subspecies breeds from southeastern Alaska and southern Canada to Mexico. It is seen year-round in the southern half of its breeding range; the subspecies C. v. ternominatus is resident in the West Indies, and C. v. peruvianus inhabits Peru and surrounding South American countries throughout the year. North American breeders winter from their resident range south to Central America, the West Indies, and the northernmost portions of South America. Despite their name, they are not known for killing deer.\nThe nonbreeding habitat of the killdeer includes coastal wetlands, beach habitats, and coastal fields. Its breeding grounds are generally open fields with short vegetation (but locations such as rooftops are sometimes used); although it is a shorebird, it does not necessarily nest close to water. The nest itself is a scrape lined with vegetation and white material, such as pebbles or seashell fragments. This bird lays a clutch of four to six buff to beige eggs with dark markings. The breeding season (starting with egg-laying) occurs from mid-March to August, with later timing of egg-laying in the northern portion of the range. Both parents incubate the eggs for 22 to 28 days typically. The young stay in the nest until the day after being hatched, when they are led by their parents to a feeding territory (generally with dense vegetation where hiding spots are abundant), where the chicks feed themselves. The young then fledge about 31 days after hatching, and breeding first occurs after one year of age.\nThe killdeer primarily feeds on insects, although other invertebrates and seeds are eaten. It forages almost exclusively in fields, especially those with short vegetation and with cattle and standing water. It primarily forages during the day, but in the nonbreeding season, when the moon is full or close to full, it forages at night, likely because of increased insect abundance and reduced predation during the night. Predators of the killdeer include various birds and mammals. Its multiple responses to predation range from calling to the ""ungulate display"", which can be fatal for the performing individual. The killdeer was formerly considered a least-concern species by the IUCN due to its large range and population, but is now considered a near-threatened species due to its population decline, though the decline is not rapid enough to warrant uplisting the killdeer to a vulnerable species. It is protected by the American Migratory Bird Treaty Act of 1918 and the Canadian Migratory Birds Convention Act."
"505","American Oystercatcher","The American oystercatcher (Haematopus palliatus), occasionally called the American pied oystercatcher, is a member of family Haematopodidae. Originally called the ""sea pie"", it was renamed in 1731 when naturalist Mark Catesby claimed that he had observed the bird eating oysters. The current population of American oystercatchers is estimated to be 43,000. There are estimated to be 1,500 breeding pairs along the Atlantic and Gulf Coasts of the US. The bird is marked by its black and white body and a long, thick orange beak."
"506","Black Oystercatcher","The black oystercatcher (Haematopus bachmani) is a conspicuous black bird found on the shoreline of western North America, ranging from the Aleutian Islands of Alaska to the coast of the Baja California peninsula.\nIt is the only representative of the oystercatcher family (Haematopodidae) over most of its range, overlapping slightly with the American oystercatcher (H. palliatus) on the coast of Baja California. Within its range it is most commonly referred to as the black oystercatcher, although this name is also used locally for the blackish oystercatcher and the African oystercatcher. Its scientific name was derived by John James Audubon from that of his friend John Bachman.\nAlthough the species is not considered threatened, its global population is estimated between 8,900–11,000.  It is a species of high conservation concern throughout its range (U.S., Canadian, Alaskan, and Northern & Southern Pacific Shorebird Conservation Plans), a keystone indicator species along the north Pacific shoreline, a management indicator species in the Chugach National Forest, and a U.S. Fish & Wildlife Service focal species for priority conservation action."
"507","Black-necked Stilt","The black-necked stilt (Himantopus mexicanus) is a locally abundant shorebird of North and South American wetlands and coastlines. It is found from the coastal areas of California through much of the interior western United States and along the Gulf of Mexico as far east as Florida, then south through Central America and the Caribbean to Brazil, Peru and the Galápagos Islands, with an isolated population, the Hawaiian stilt, in Hawaii. The northernmost populations, particularly those from inland, are migratory, wintering from the extreme south of the United States to southern Mexico, rarely as far south as Costa Rica; on the Baja California peninsula it is only found regularly in winter. Some authorities, including the IUCN, treat it as a synonym of Himantopus himantopus."
"508","American Avocet","The American avocet (Recurvirostra americana) is a large wader in the avocet and stilt family, Recurvirostridae, found in North America. It spends much of its time foraging in shallow water or on mud flats, often sweeping its bill from side to side in water as it seeks crustacean and insect prey."
"509","Solitary Sandpiper","The solitary sandpiper (Tringa solitaria) is a small shorebird. The genus name Tringa is the Neo-Latin name given to the green sandpiper by Aldrovandus in 1599 based on Ancient Greek trungas, a thrush-sized, white-rumped, tail-bobbing wading bird mentioned by Aristotle. The specific solitaria is Latin for ""solitary"" from solus, ""alone""."
"510","Greater Yellowlegs","The greater yellowlegs (Tringa melanoleuca) is a large shorebird in the family Scolopacidae. It breeds in central Canada and southern Alaska and winters in southern North America, Central America, the West Indies and South America."
"511","Willet","The willet (Tringa semipalmata) is a large shorebird in the family Scolopacidae. It is a relatively large and robust sandpiper and is the largest of the species called ""shanks"" in the genus Tringa. Its closest relative is the lesser yellowlegs, a much smaller bird with a very different appearance apart from the fine, clear, and dense pattern of the neck, which both species show in breeding plumage. It breeds in North America and the West Indies and winters in southern North America, Central America, the West Indies and South America."
"512","Lesser Yellowlegs","The lesser yellowlegs (Tringa flavipes) is a medium-sized shorebird. It breeds in the boreal forest region of North America."
"513","Whimbrel","Whimbrel may refer to:\nBirds:\n\nEurasian whimbrel (common), Numenius phaeopus\nHudsonian whimbrel, Numenius hudsonicus\nBristle-thighed curlew, Numenius tahitiensis\nOther uses:\n\nHMS Whimbrel (U29), last surviving Royal Navy warship present at the Japanese surrender in World War II"
"514","Long-billed Curlew","The long-billed curlew (Numenius americanus) is a large North American shorebird of the family Scolopacidae. This species was also called ""sicklebird"" and the ""candlestick bird"". The species breeds in central and western North America, migrating southward and coastward for the winter."
"515","Marbled Godwit","The marbled godwit (Limosa fedoa) is a large migratory shorebird in the family Scolopacidae. On average, it is the largest of the four species of godwit."
"516","Ruddy Turnstone","The ruddy turnstone (Arenaria interpres) is a small cosmopolitan wading bird, one of two species of turnstone in the genus Arenaria.\nIt is now classified in the sandpiper family Scolopacidae but was formerly sometimes placed in the plover family Charadriidae. It is a highly migratory bird, breeding in northern parts of Eurasia and North America and flying south to winter on coastlines almost worldwide. It is the only species of turnstone in much of its range and is often known simply as turnstone."
"517","Black Turnstone","The black turnstone (Arenaria melanocephala) is a species of small wading bird. It is one of two species of turnstone in the genus Arenaria the ruddy turnstone (A. interpres) being the other. It is now classified in the sandpiper family, Scolopacidae, but was formerly sometimes placed in the plover family, Charadriidae. It is native to the west coast of North America and breeds only in Alaska."
